#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-14215.17778968811,59.371818264782895,0
200,-13769.186519622803,105.35080528501679,773
300,-13386.069568634033,140.0850024850829,783
400,-13164.054164886475,177.55092109006608,760
500,-12980.906364440918,205.2334082361318,756
600,-12761.232404708862,223.13171953305977,742
700,-12573.383026123047,239.314104887316,698
800,-12526.290906906128,259.46696402387147,724
900,-12430.98163986206,267.73796744022366,740
1000,-12297.855981826782,283.44555602025275,752
1100,-12217.926969528198,289.5718339692945,752
1200,-12151.396827697754,291.1695322248455,744
1300,-12123.983657836914,294.34055816742733,737
1400,-12164.916515350342,298.0682035403589,715
1500,-12123.776753902435,302.9510084331465,699
1600,-11936.934085845947,299.9085697512418,709
1700,-11927.733016967773,290.3888187133763,711
1800,-12040.235052108765,311.8787408336555,713
1900,-12015.037929534912,322.3990727897418,711
2000,-12030.043159484863,314.1006193970747,709
2100,-12068.3392868042,320.05126462376035,697
2200,-11942.586240768433,306.4021384162401,699
2300,-11944.58087348938,301.70273636005084,706
2400,-12121.966382980347,325.22581095228827,710
2500,-11949.683414459229,307.87296801593425,713
2600,-11953.56717300415,311.1803480567501,715
2700,-11978.36162185669,302.2565558280292,715
2800,-12127.881340026855,316.5315979337034,714
2900,-11882.221481323242,305.6836164800953,713
3000,-11947.685209274292,308.5966785400828,712
3100,-11981.494972229004,321.6528420500103,711
3200,-12084.82014465332,327.2699503084533,704
3300,-12107.351072311401,319.26732745389,709
3400,-12038.170729637146,312.35885150091855,712
3500,-11991.339794158936,311.13877038591266,716
3600,-11903.426076889038,304.6792721704091,718
3700,-12117.51155090332,309.90044924133014,719
3800,-11954.146467208862,300.8620308584471,719
3900,-12042.749851226807,309.9953071525924,719
4000,-11989.451332092285,303.08258459903124,720
4100,-11993.969326019287,301.35900688479364,719
4200,-12059.342700958252,305.4754373039462,717
4300,-12196.991111755371,321.9495138372992,716
4400,-12149.525848388672,320.9031892744282,713
4500,-12061.328556060791,295.58672125541847,711
4600,-12083.610723495483,290.28519928930257,708
4700,-12103.313827514648,296.2720200957113,710
4800,-12128.44626235962,303.4254526174479,711
4900,-12106.737770080566,304.7387887751266,711
5000,-12059.590492248535,293.98664593001513,711
5100,-12038.227993011475,304.1177977947886,711
5200,-12152.475658416748,308.7398427939597,710
5300,-12143.294548034668,305.3220929256002,709
5400,-12095.097675323486,299.26979298559843,706
5500,-12156.522808074951,312.5538586970847,702
5600,-12278.1410446167,319.9477126348499,704
5700,-12260.522621154785,307.3928655040451,705
5800,-12120.707675933838,294.34882920212755,706
5900,-12127.151027679443,299.1349763209342,705
6000,-12101.463821411133,309.8327875588393,705
6100,-12080.455909729004,306.04863039452704,701
6200,-12138.827754974365,303.8930079371906,702
6300,-12126.81575012207,314.3842561800647,703
6400,-11945.326393127441,288.7530955579881,704
6500,-12131.025135040283,312.74229847071075,704
6600,-12162.4303150177,330.42836750340297,704
6700,-12008.303443908691,323.31450890657203,700
6800,-12076.822456359863,316.4519061694647,698
6900,-12058.292881011963,300.35278739476036,696
7000,-12036.90475845337,306.82650392024914,698
7100,-12284.623512268066,318.76123472208366,700
7200,-12236.917028427124,317.50131761620014,700
7300,-11970.333629608154,305.031304047604,701
7400,-12124.47024154663,325.38255201834687,702
7500,-12110.735145568848,309.8150220951981,699
7600,-12157.429126739502,306.16073177323125,702
7700,-12127.88807296753,307.7290502092153,703
7800,-11969.546779632568,299.28412666075997,703
7900,-12072.675430297852,306.4329874135888,703
8000,-12065.030731201172,298.37649158469804,704
8100,-12205.579996109009,308.3446236491504,704
8200,-12149.029336929321,304.2831033107897,702
8300,-12136.005781173706,309.0514381142702,701
8400,-12200.406120300293,308.46181845908274,701
8500,-12223.009788513184,318.62780718333414,699
8600,-12027.91022491455,289.39181884388086,701
8700,-12113.076944351196,304.6247202761142,702
8800,-12165.290822982788,317.0454004764199,703
8900,-12046.11357498169,306.55170474493303,703
9000,-12122.918571472168,312.721866171711,703
9100,-12099.955478668213,303.7482367466684,702
9200,-12067.549499511719,291.42805978514235,702
9300,-12272.227577209473,310.29455982420694,702
9400,-12212.077964782715,307.0912513662073,703
9500,-12125.502235412598,293.0267508777798,703
9600,-12254.611038208008,307.8359885830754,702
9700,-12172.294059753418,303.37915971706417,701
9800,-12227.525867462158,302.3263375640211,700
9900,-12186.791206359863,304.4633955087021,699
10000,-12248.08320236206,316.63785772687055,696
10100,-12224.9517288208,311.4841644813745,695
10200,-12135.732522010803,313.41835354975194,696
10300,-12145.480588912964,316.15173793310487,696
10400,-11995.131797790527,309.87431104375185,697
10500,-12129.142517089844,320.57682837496594,697
10600,-12080.480377197266,303.73843786403404,698
10700,-12103.042530059814,296.3545311470433,698
10800,-12146.91701889038,308.274219532023,698
10900,-12089.072704315186,309.4284479764435,696
11000,-12120.947162628174,316.7286152729157,697
11100,-12210.956573486328,316.947871616852,697
11200,-12227.469947814941,312.7504534726928,698
11300,-12115.28014755249,300.5347461403964,698
11400,-12224.169883728027,321.5495886757983,698
11500,-12109.404064178467,320.4605644779001,697
11600,-12061.462955474854,316.4977966139736,696
11700,-11944.96431350708,306.31470326274274,695
11800,-12043.347557067871,318.6362204609972,694
11900,-12096.943424224854,313.1289753214173,693
12000,-12168.714727401733,311.061103120755,691
12100,-12107.235885620117,306.1576557388544,691
12200,-12045.634496688843,302.76243335673763,692
12300,-12138.948745727539,318.3371902054074,692
12400,-12137.369426727295,304.06395395808073,693
12500,-12206.801490783691,309.6730382875629,693
12600,-12071.11173248291,302.798214256596,694
12700,-12160.852575302124,309.92302460675944,693
12800,-12138.999216079712,322.042567998647,693
12900,-12018.964723587036,306.76687316781533,692
13000,-12077.195682525635,309.73379316020856,690
13100,-12042.04888343811,307.221270810949,691
13200,-12085.859537124634,308.55747941694864,691
13300,-12127.611557006836,306.1889184030259,692
13400,-12100.358325958252,309.07059181191556,692
13500,-12136.791542053223,298.1864225045441,693
13600,-12090.758708953857,308.0991827189798,693
13700,-12058.561450958252,300.43731078913453,693
13800,-12064.600410461426,300.67908895465,692
13900,-12102.503692626953,311.7019687178032,692
14000,-12093.287864685059,311.88090146401146,690
14100,-12122.446685791016,314.9982661031435,691
14200,-11949.321422576904,301.60357887854707,691
14300,-12165.559741973877,307.6078019756616,691
14400,-12155.293849945068,310.36850565336005,691
14500,-12240.749626159668,304.49416561568137,691
14600,-12100.47087097168,314.38610726005703,691
14700,-12208.281251907349,313.877636707117,691
14800,-12092.280055046082,306.6391193041273,690
14900,-12291.926597595215,330.56353956644926,688
15000,-12174.95544052124,303.94814838758623,682
15100,-12112.552021026611,292.82675256940314,681
15200,-12201.875659942627,304.79592423815893,679
15300,-12065.89828300476,300.1169270124742,678
15400,-12097.12009048462,299.5469379110105,678
15500,-12110.309613227844,296.51946496713396,679
15600,-12175.696140289307,292.56567842937505,680
15700,-12215.11297416687,299.04340880229574,680
15800,-12108.014575958252,287.9343269116539,680
15900,-12043.014827728271,293.79217647605003,680
16000,-12135.958969116211,303.5238073360479,679
16100,-12099.974216461182,300.52288291271225,678
16200,-12061.008949279785,305.42617537062074,678
16300,-12117.541725158691,305.5596745394395,679
16400,-12221.384586334229,320.3614980577503,680
16500,-12057.851791381836,308.4783178095538,680
16600,-12115.076629638672,300.8801131044792,680
16700,-12040.0225315094,295.49736534376655,680
16800,-12072.961448669434,307.88332299509545,680
16900,-12133.875244140625,310.8480864605836,680
17000,-12035.667427062988,304.2894182969675,679
17100,-12205.983708381653,320.68566041563685,679
17200,-12013.11644744873,313.26228871601154,679
17300,-11993.77737045288,312.35108102700667,680
17400,-12103.469955444336,311.42532857295913,681
17500,-12161.173839569092,306.45193554925885,681
17600,-12078.823837280273,305.0988440305009,682
17700,-12165.092798233032,309.04582980616976,682
17800,-12129.103302001953,305.7062607186655,682
17900,-12171.007970809937,302.37947174442996,682
18000,-12145.405502319336,294.1912981154883,682
18100,-12097.36795425415,296.10713054006163,681
18200,-12318.352035522461,319.50464625252636,680
18300,-12187.45719909668,300.30178878485566,679
18400,-12217.89538192749,308.09341873821603,680
18500,-12121.31464958191,294.40769112999965,680
18600,-12247.128356933594,314.34431838085146,681
18700,-12207.321798324585,301.4438191040077,681
18800,-12131.065044403076,298.7406169123131,682
18900,-12176.022087097168,314.73011362101784,682
19000,-12140.116716384888,309.7593762327351,682
19100,-12213.483415603638,314.14386533898585,681
19200,-12189.495582580566,303.41350110546375,681
19300,-12302.613395690918,297.3126250940644,681
19400,-12189.305446624756,294.5415636929896,682
19500,-12261.191452026367,301.84427191623786,683
19600,-12148.816635131836,297.0329933524787,684
19700,-12147.970287322998,301.0868985573508,684
19800,-12051.147815704346,305.39538883839947,685
19900,-12041.190292358398,309.64163723913566,685
20000,-12270.66044998169,312.97189483373757,684
20100,-12067.417274475098,291.5051188548069,683
20200,-12203.308815956116,309.09106549721594,682
20300,-12182.403276443481,306.46721680840574,682
20400,-12188.168910980225,310.5106364925066,682
20500,-12070.977420806885,306.3946770675197,683
20600,-12012.004180908203,299.4591734664279,684
20700,-12012.820003509521,309.9361318577351,684
20800,-12150.12018585205,302.28134349928126,684
20900,-12234.848285675049,305.6537530054691,685
21000,-12214.728748321533,304.244096082093,685
21100,-12120.435760498047,296.3393363285248,685
21200,-12264.81328201294,307.5325083427207,685
21300,-12172.644428253174,315.78239664702875,685
21400,-12043.337432861328,308.6930444458977,685
21500,-12074.525350570679,311.5545878020389,684
21600,-11947.067504882812,303.6851516500484,684
21700,-11879.88079071045,307.163181040384,682
21800,-12012.902732849121,312.51552040166575,681
21900,-12016.069007873535,307.8442746250577,681
22000,-12014.203643798828,299.75339832926664,681
22100,-12047.027034759521,310.1830797577289,682
22200,-12032.591094970703,308.144164595631,682
22300,-12114.280757904053,316.7916623805116,682
22400,-12035.007270812988,298.2296958327218,682
22500,-12086.354972839355,301.7676972881572,682
22600,-12125.208797454834,308.99426236896164,682
22700,-12110.807926177979,301.48891406932984,682
22800,-12078.84683227539,312.5666112204576,681
22900,-12098.770317077637,323.60441036341393,682
23000,-11908.785341262817,305.86013927003256,682
23100,-11916.731079101562,317.0146833517183,683
23200,-12074.409484863281,325.74788418341626,683
23300,-12050.641033172607,329.4001342323714,683
23400,-12052.109588623047,329.4072702977398,683
23500,-11973.128852844238,303.1240448655926,683
23600,-12093.621322631836,320.1625806150093,683
23700,-12158.18754196167,323.61415614312534,683
23800,-11976.582592010498,307.05236133230306,682
23900,-11910.503395080566,313.5635079509581,682
24000,-12049.424900054932,316.52382152885576,681
24100,-12020.3176612854,314.7403784845633,680
24200,-12028.416725158691,315.0106786891313,681
24300,-12111.70495223999,317.0629711398849,681
24400,-12043.636615753174,295.19611617162843,681
24500,-12166.352630615234,308.3094162675177,681
24600,-12167.467010498047,296.4675382378733,682
24700,-12054.575721740723,298.7133596207269,682
24800,-12122.547063827515,318.06900700400007,682
24900,-12121.292869567871,314.01643791125485,682
25000,-12004.143489837646,301.0326134912798,682
25100,-12044.003341674805,309.73718521171025,681
25200,-12053.368446350098,318.76279440289443,681
25300,-12111.893295288086,321.50213039839616,680
25400,-12047.432865142822,319.03022373927115,680
25500,-12119.011016845703,318.86384860003864,680
25600,-12009.836277008057,317.79046206071234,680
25700,-12075.24824142456,334.14993877219604,680
25800,-12023.705028533936,333.90495388340435,680
25900,-12043.6019821167,329.84421330170954,680
26000,-12072.829196929932,315.474593462971,679
26100,-12030.309757232666,314.1385266348347,679
26200,-12086.928215026855,311.61335226750384,679
26300,-12056.655391693115,313.8338440828429,678
26400,-11868.441761016846,310.2702537042315,678
26500,-11957.453838348389,323.8306028661602,679
26600,-12090.982048034668,329.57559899737436,679
26700,-12092.090560913086,314.9504312814115,679
26800,-11890.596054077148,309.5719367961675,679
26900,-11885.979766845703,319.46216980530863,679
27000,-11950.721004486084,318.8738504084933,679
27100,-11843.606483459473,318.3001707671941,678
27200,-11899.541355133057,321.0825164188515,678
27300,-11908.225479125977,302.4491676409697,677
27400,-12148.715312957764,317.7883823781705,677
27500,-12014.104042053223,297.91378279327427,677
27600,-12066.639625549316,318.26512731640474,677
27700,-12034.463565826416,313.2526220246875,678
27800,-12116.109394073486,321.64719295745317,678
27900,-12025.294620513916,319.20721186955564,678
28000,-11937.165771484375,314.79661841223583,677
28100,-12003.605005264282,324.8709737949405,677
28200,-12109.51062965393,326.7020194785523,677
28300,-12003.323812484741,312.7872823140531,676
28400,-12036.803289413452,317.48538718683477,676
28500,-11919.911619186401,303.5138758213918,676
28600,-11918.414688110352,304.9718516578024,676
28700,-12070.54545211792,321.83621397162904,676
28800,-11947.584369659424,318.48508091547984,676
28900,-11927.225093841553,310.48749616608865,676
29000,-12008.368835449219,313.50932576705213,675
29100,-12142.929637908936,319.6616492532824,674
29200,-12135.724849700928,320.9046569697829,675
29300,-12103.525619506836,314.3938193364657,675
29400,-12107.199356079102,308.3358135188203,675
29500,-12106.545227050781,314.9324777847378,676
29600,-12099.134872436523,314.80970461913233,676
29700,-12153.311019897461,317.0475224661809,676
29800,-12126.90233039856,313.29339706718713,676
29900,-11914.850509643555,297.51418730362496,676
30000,-12123.455619812012,320.3858527837518,675
30100,-12114.4157371521,322.7514897668311,675
30200,-12141.641384124756,321.4485752234735,675
30300,-12138.921718597412,318.10407049313153,674
30400,-12130.77554321289,323.6165653401295,672
30500,-12039.28844833374,307.6460213368321,671
30600,-11995.927799224854,301.7141274247776,670
30700,-11959.877571105957,302.0536668159393,671
30800,-11877.247047424316,294.79125184586087,671
30900,-12177.405235290527,337.9819966506438,672
31000,-12150.40354347229,318.6671244147604,672
31100,-12002.537693023682,308.7899627681804,673
31200,-12000.003726959229,306.32570501610473,673
31300,-12073.11900138855,302.91280031939806,673
31400,-12274.037649154663,309.0010716000709,673
31500,-12156.792572021484,302.5435359734029,672
31600,-12095.203020095825,293.5547383165904,672
31700,-12264.070196151733,303.00345909859925,672
31800,-12177.245059967041,304.6091963299428,673
31900,-12178.60510635376,303.65828799217684,673
32000,-12308.425924301147,312.68458980698296,673
32100,-12145.333068847656,305.2518812927557,673
32200,-12116.621505737305,298.21585205472877,673
32300,-12197.183113098145,313.7146914232337,672
32400,-12041.573387145996,312.2015728674758,672
32500,-11948.327194213867,309.3148815961409,671
32600,-11970.460453033447,314.2126202051266,672
32700,-12083.909114837646,321.72493811641556,672
32800,-12157.12943649292,316.8052204598672,672
32900,-12051.191341400146,296.67522348171116,672
33000,-12233.325119018555,309.55885080013053,673
33100,-12060.447093963623,305.04213318592747,673
33200,-12193.69013595581,308.71611159565566,673
33300,-12144.257955551147,303.84852054487294,673
33400,-12080.102596282959,294.4167981898249,672
33500,-12122.31861114502,305.78560169515805,672
33600,-11998.764751434326,294.3518286930427,671
33700,-12273.306423187256,309.70734732273564,670
33800,-12231.016174316406,305.61416313752494,670
33900,-12199.703395843506,308.48891729796367,670
34000,-12178.40898513794,303.6795349299264,671
34100,-12230.132333755493,299.184712617429,671
34200,-12112.55111503601,286.1851916971603,671
34300,-12225.961040496826,299.06294827149816,670
34400,-12235.501434326172,306.0582211022994,669
34500,-12281.920166015625,300.8666047003389,669
34600,-12378.415351867676,311.88317024845134,669
34700,-12240.765258789062,293.2999392150644,669
34800,-12265.01746749878,298.0042438542586,668
34900,-12241.513431549072,300.1124574422187,668
35000,-12091.505952835083,302.62376627267014,668
35100,-12241.765789031982,327.44201661588363,668
35200,-12184.813165664673,323.0629835559232,669
35300,-12242.907653808594,317.7292242421392,669
35400,-12294.250297546387,321.44188978744177,669
35500,-12324.312381744385,330.5529461657978,669
35600,-12071.614162445068,297.4997253343306,668
35700,-12125.565048217773,311.5486169394114,668
35800,-12284.159803390503,327.92325981831397,668
35900,-12048.386920928955,301.5508098985729,669
36000,-12084.23212814331,307.068122581244,669
36100,-12172.717555999756,316.3126372142319,669
36200,-12176.289680480957,322.5760824682691,669
36300,-12018.594467163086,307.8782720962342,668
36400,-12126.405197143555,324.04864825257283,668
36500,-12132.728519439697,326.6218336539111,668
36600,-12136.921447753906,326.02443469420064,668
36700,-12043.288307189941,325.6830891527363,668
36800,-12098.297611236572,316.1311341107015,668
36900,-12089.083057403564,309.8717586873986,668
37000,-12001.350030899048,311.78426904324033,668
37100,-12183.706783294678,322.62142238951344,668
37200,-12158.72216796875,314.346887412694,667
37300,-11988.060539245605,307.50441520673473,667
37400,-12140.119102478027,325.8929483874794,667
37500,-12069.331508636475,308.5442777410647,668
37600,-12156.471435546875,319.73041076791776,668
37700,-12176.36905670166,319.36700943305067,668
37800,-12193.70022201538,309.8638083799099,668
37900,-12256.817821502686,322.0050339105301,668
38000,-12128.907619476318,303.03409965972384,668
38100,-12179.136840820312,307.7607470367449,668
38200,-12216.19965171814,305.71644729571545,668
38300,-12120.071292877197,299.01354199168685,669
38400,-12287.711513519287,304.18673898178065,669
38500,-12103.141567230225,303.9969073989072,669
38600,-12102.97013092041,302.012051825778,670
38700,-12194.081405639648,316.743080445839,670
38800,-12216.951393127441,319.0383744368707,670
38900,-12093.680114746094,315.5101734052647,671
39000,-12153.782279968262,318.7717264622387,671
39100,-12038.395069122314,309.4041923921713,671
39200,-11969.53313446045,308.6885767329108,671
39300,-12007.77978515625,310.23038793722054,671
39400,-12072.804861068726,306.66517485816667,671
39500,-12083.065372467041,311.48311855992597,671
39600,-12030.488185882568,321.42226387976916,671
39700,-12076.585487365723,313.4585544348109,671
39800,-12153.394550323486,298.75589714360086,671
39900,-12141.928089141846,302.69012327361577,671
40000,-12138.655345916748,290.2678591908155,672
40100,-12301.122688293457,306.6161375980014,672
40200,-12203.483669281006,302.1983795796063,672
40300,-12249.24919128418,319.8733505649975,671
40400,-11997.949253082275,308.6553817822683,671
40500,-12154.447326660156,323.74990228201756,671
40600,-12081.763641357422,319.3373243664876,670
40700,-12047.103424072266,324.61913162314033,670
40800,-12071.739889144897,322.9980855688147,670
40900,-12106.395820617676,325.8072709535073,671
41000,-12087.033401489258,313.32938476789457,671
41100,-12059.682807922363,313.7388028683185,671
41200,-12223.94994354248,328.368691286894,671
41300,-12112.491352081299,318.60549685468635,671
41400,-12220.687700271606,316.80722491132576,671
41500,-12280.207538604736,319.5533286696233,671
41600,-12151.177141189575,321.50954594355784,670
41700,-12167.236965179443,307.6518380348423,670
41800,-12227.209510803223,312.1246208367355,670
41900,-12220.239902496338,311.85720592016946,670
42000,-12254.276027679443,312.5279726516832,671
42100,-12397.234714508057,318.6987874844842,671
42200,-12289.800769805908,319.7040313321916,671
42300,-12132.955509185791,299.1943516096505,671
42400,-12241.56428527832,295.09301762461166,671
42500,-12273.388198852539,298.9595093631651,671
42600,-12360.195537567139,316.41265693493614,671
42700,-12097.67195892334,294.0796805676518,671
42800,-12235.132642745972,310.5441337385002,671
42900,-12327.428031921387,317.19390840701976,671
43000,-12178.913860321045,310.94403867691426,671
43100,-12038.663398742676,312.4157492657389,671
43200,-12034.485401153564,310.9303971921631,671
43300,-12083.140350341797,319.96293698729386,671
43400,-12078.265869140625,309.3862998050776,672
43500,-12166.158210754395,314.22333128188376,672
43600,-12136.08003616333,311.568936670954,671
43700,-12185.711318969727,312.85493823071306,671
43800,-12211.20821762085,317.11505290558154,671
43900,-12076.99808883667,311.9324666791016,671
44000,-11884.886461257935,301.8325248015582,672
44100,-12100.632591247559,310.60270870193045,672
44200,-12103.657768249512,306.8956031361231,672
44300,-12097.052341461182,310.58288697463973,672
44400,-12147.402006149292,308.1361583700186,672
44500,-12085.10274887085,299.240336787695,672
44600,-12196.051410675049,315.6606599028641,672
44700,-12181.48328590393,318.5087708772646,672
44800,-12148.13491821289,305.08656804428676,671
44900,-12054.424236297607,295.30382078254314,672
45000,-12261.147567749023,308.333015617131,672
45100,-12074.534202575684,293.21437151538146,672
45200,-12160.892639160156,311.6117485356207,672
45300,-12145.844863891602,312.8093196671783,672
45400,-12269.109001159668,321.5212194930954,671
45500,-12110.606521606445,307.83457571275267,671
45600,-12204.631282806396,309.2010825784698,672
45700,-12202.727020263672,311.51381114215854,672
45800,-12079.602283477783,308.989832077491,672
45900,-12118.342823028564,322.8147750256524,672
46000,-12152.207942962646,308.8114646969402,672
46100,-12322.769077301025,307.02110496003195,672
46200,-12262.119876861572,314.7122446637838,672
46300,-12253.888206481934,317.93325690203665,672
46400,-12112.452388763428,298.6054542795636,672
46500,-12088.209327697754,296.71767564253435,673
46600,-12125.724136352539,307.0242312409524,673
46700,-12152.581405639648,310.2496221563951,673
46800,-12219.592468261719,319.951489853367,674
46900,-12172.888874053955,315.07382241780067,674
47000,-12187.960334777832,305.3139002436532,674
47100,-12255.934478759766,313.6074804902823,674
47200,-12187.790687561035,312.2398749041271,674
47300,-12220.334568023682,316.34188109799584,674
47400,-12042.675930023193,300.00415475900877,674
47500,-12118.511657714844,301.7909323407728,674
47600,-12254.981590270996,311.12584961004814,674
47700,-12210.846870422363,308.4368031215232,675
47800,-12328.109594345093,317.87207620016267,675
47900,-12256.80791091919,308.4322693096977,675
48000,-12160.736186981201,302.4369920908858,675
48100,-12161.85731124878,290.26737409086223,675
48200,-12200.766536712646,300.9069800697909,675
48300,-12206.115886688232,322.43798819333944,675
48400,-12161.388675689697,307.51639236272376,675
48500,-12143.49641418457,315.9479381883406,675
48600,-12069.473682403564,302.3983262014013,675
48700,-12131.398784637451,310.40637892986706,675
48800,-12100.942192077637,303.1066795938385,675
48900,-12119.236263275146,303.5829678835824,675
49000,-12125.848114013672,312.00016065568366,676
49100,-12109.830894470215,309.08802071748084,676
49200,-12023.334217071533,302.2382011541265,676
49300,-12258.43947982788,318.83635885485774,676
49400,-12161.86237335205,311.9768289042442,676
49500,-12191.357662200928,309.3582162094314,676
49600,-12099.622764587402,309.9318036356385,676
49700,-11989.581455230713,298.6995857818267,675
49800,-12182.671394348145,317.29435406389297,675
49900,-12154.86519241333,322.79177234300005,675
50000,-12010.982074737549,314.7850463996359,676
